id,city,area,kind,title,blurb,address,lat,lng,schedule_kind,offset_minutes,day_offset,hour,minute,duration_min,price,tags,image,image_credit,coords_source
ct-faeezas-kitchen,cape-town,Bo-Kaap,event,Cooking with Faeeza,"Home kitchen in the Bo-Kaap. You cook, you eat what you cooked, and you leave with the recipes.","Chiappini Ln, Schotsche Kloof",-33.9200,18.4130,clock,,0,11,0,180,,making|cooking|food|halal|heritage,/images/faeezas-kitchen.jpg,TODO,provisional
ct-bokaap-cooking-tour,cape-town,Bo-Kaap,event,Bo-Kaap cooking tour,"Walk the neighbourhood, then cook in it. Half history lesson, half lunch.","46 Rose St, Schotsche Kloof",-33.9200,18.4130,clock,,1,10,0,240,,making|cooking|heritage|food,/images/bokaap-cooking-tour.jpg,TODO,provisional
ct-clay-hands,cape-town,Woodstock,event,Wheel throwing at Clay Hands,Two hours at the wheel on Victoria Road. You will make something wonky and you will keep it.,"196 Victoria Rd, Woodstock",-33.9270,18.4470,offset,22,,,,120,,making|pottery,/images/clay-hands.jpg,TODO,provisional
ct-sasha-leon,cape-town,Gardens,event,Make a ring in a day,"Silversmithing in a Gardens studio — cut, solder, file, polish, wear it home.","4 Wembley Rd, Gardens",-33.9310,18.4110,clock,,1,9,30,300,,making,/images/sasha-leon.jpg,TODO,provisional
ct-clay-cafe-century-city,cape-town,Century City,place,Clay Café Century City,"Same idea as Hout Bay, closer to town, and indoors when the wind is up.","37 Bridgeway, Century City",-33.8930,18.5100,clock,,0,10,0,120,,making|pottery|family,/images/clay-cafe-century-city.jpg,TODO,provisional
ct-zeitz-mocaa,cape-town,V&A Waterfront,place,Zeitz MOCAA,Contemporary African art inside a converted grain silo. Worth it for the atrium alone.,"S Arm Rd, V&A Waterfront",-33.9040,18.4200,clock,,0,10,0,120,,art,/images/zeitz-mocaa.jpg,TODO,provisional
ct-artscape,cape-town,Foreshore,place,Artscape Theatre Centre,"The city's main stage. Whatever's on this week, it's on here.","D.F. Malan St, Foreshore",-33.9190,18.4310,clock,,0,19,30,150,,art|live-shows|theatre,/images/artscape.jpg,TODO,provisional
ct-safra-gala,cape-town,Parow,event,SAFRA Heritage Gala,An evening of heritage performance in Parow. Dress for it.,"20 Picton St, Parow",-33.9010,18.5950,clock,,1,18,0,210,,live-shows|heritage|social,/images/safra-gala.jpg,TODO,provisional
ct-cape-ballet,cape-town,Gardens,event,Cape Ballet Africa,Contemporary ballet from a young company. Shorter than you expect and much better.,"2 Hof St, Gardens",-33.9310,18.4110,clock,,0,19,0,120,,art|live-shows|theatre,/images/cape-ballet.jpg,TODO,provisional
ct-create-sewing,cape-town,Observatory,event,Sewing studio evening,"Lower Main Road studio with machines, patterns and someone to stop you ruining the fabric.","142 Lower Main Rd, Observatory",-33.9390,18.4690,clock,,0,18,0,150,,making|fashion,/images/create-sewing.jpg,TODO,provisional
ct-yolo-fiesta,cape-town,City Bowl,event,YOLO Fiesta,"Long Street, loud, late. Go if that's the evening you're after.","38 Long St, Cape Town City Centre",-33.9250,18.4180,clock,,0,21,0,240,,social|music,/images/yolo-fiesta.jpg,TODO,provisional
ct-fashion-week,cape-town,Kenilworth,event,Cape Town Fashion Week,Runway shows at Kenilworth Racecourse. Half the interest is the crowd outside.,"Hollywoodbets Kenilworth Racecourse, 105 Rosmead Ave, Kenilworth",-33.9950,18.4770,clock,,1,17,0,240,,fashion|art|social,/images/fashion-week.jpg,TODO,provisional
ct-nantes-race,cape-town,Athlone,event,Nantes Heritage Race,Road race through Athlone with a community behind it. Entry on the day.,"Cross Blvd, Athlone",-33.9640,18.5100,clock,,1,6,30,120,,running|heritage|social,/images/nantes-race.jpg,TODO,provisional
ct-sanlam-marathon,cape-town,Green Point,event,Sanlam Cape Town Marathon,"The big one. Green Point start, the whole city out on the pavement.","Fritz Sonnenberg Rd, Green Point",-33.9060,18.4100,clock,,1,6,0,300,,running,/images/sanlam-marathon.jpg,TODO,provisional
ct-run-promenade,cape-town,Green Point,event,Run the promenade,"Flat, lit, and busy with other runners. The easiest 5k in the city to commit to.","100 Beach Rd, Green Point",-33.9060,18.4100,clock,,0,18,0,60,Free,running|outdoors|social,/images/run-promenade.jpg,TODO,provisional
ct-ladles-of-love,cape-town,Epping,event,Ladles of Love packing shift,Two hours on the line in Epping packing meals. Go with someone; the time passes faster.,"Unit 4, Hewett Park, 17 Hewett Ave, Epping",-33.9350,18.5450,clock,,1,9,0,120,Free,giving-back|social,/images/ladles-of-love.jpg,TODO,provisional
ct-islamic-relief,cape-town,Lansdowne,event,Islamic Relief volunteer morning,"Sorting and distribution from the Lansdowne office. Show up, they'll find you a job.","396 Imam Haron Rd, Lansdowne",-33.9880,18.5030,clock,,1,9,0,180,Free,giving-back|social,/images/islamic-relief.jpg,TODO,provisional
ct-gift-of-the-givers,cape-town,Belthorn Estate,event,Gift of the Givers packing,Disaster-response packing in Belthorn. Unglamorous and completely worth the morning.,"4 Arbeids Rd, Belthorn Estate",-33.9920,18.5150,clock,,1,9,0,180,Free,giving-back|social,/images/gift-of-the-givers.jpg,TODO,provisional
ct-sanccob,cape-town,Table View,place,SANCCOB seabird centre,"Penguin and seabird rehabilitation in Table View. You can visit, and you can help.","22 Pentz Dr, Table View",-33.8200,18.4900,clock,,0,10,0,90,,giving-back|nature|family,/images/sanccob.jpg,TODO,provisional
ct-two-oceans-aquarium,cape-town,V&A Waterfront,place,Two Oceans Aquarium,"Where two oceans meet, indoors, with a kelp forest tank you'll stand in front of for longer than planned.","Dock Rd, V&A Waterfront",-33.9040,18.4200,clock,,0,10,0,120,,social|nature|family,/images/two-oceans.jpg,TODO,provisional
ct-trash-bash,cape-town,Muizenberg,event,Trash Bash beach clean,"An hour on Sunrise Beach with bags and gloves, followed by coffee. Genuinely satisfying.","Sunrise Beach, Muizenberg",-34.1030,18.4700,clock,,1,8,0,90,Free,giving-back|outdoors|beach|social,/images/trash-bash.jpg,TODO,provisional
ct-greenpop,cape-town,Woodstock,event,Greenpop planting day,"Tree planting run out of the Mountain Road hub in Woodstock. Dirt under the fingernails, four blocks from here.","107 Mountain Rd, Woodstock",-33.9270,18.4470,clock,,1,9,0,240,,giving-back|outdoors|nature,/images/greenpop.jpg,TODO,provisional
ct-grotto-spa,cape-town,Gardens,place,The Grotto Spa,"Hydrotherapy and quiet up at Greys Pass. Go in wound up, come out useless.","Greys Pass, Gardens",-33.9310,18.4110,clock,,0,10,0,120,,wellness,/images/grotto-spa.jpg,TODO,provisional
ct-seasonal-reset,cape-town,Zonnebloem,event,The Seasonal Reset,An afternoon at Nova Core to stop and take stock. More practical than it sounds.,"Nova Core, 47 De Villiers St, Zonnebloem",-33.9320,18.4290,clock,,1,14,0,180,,wellness|social,/images/seasonal-reset.jpg,TODO,provisional
ct-flow-lab,cape-town,City Bowl,event,Flow Lab Friday,"Breathwork and movement on Loop Street to close out the week. Ninety minutes, no experience needed.","Habitus Wellness, 61 Loop St, Cape Town City Centre",-33.9250,18.4180,clock,,0,17,30,90,,wellness|fitness,/images/flow-lab.jpg,TODO,provisional
ct-lifestyle-padel,cape-town,Claremont,event,Padel at Stadium on Main,Easiest racket sport to pick up and the hardest to stop playing. Courts book out after five.,"Mezzanine level, Stadium on Main, 99 Main Rd, Claremont",-33.9830,18.4650,clock,,0,18,0,90,,fitness|social,/images/lifestyle-padel.jpg,TODO,provisional
ct-garys-surf-school,cape-town,Muizenberg,event,Learn to surf at Muizenberg,Gary's has been putting beginners on boards at Surfers Corner for decades. Wetsuit included.,"Balmoral Building, 34 Beach Rd, Muizenberg",-34.1030,18.4700,clock,,1,9,0,120,,fitness|outdoors|surfing|beach,/images/garys-surf.jpg,TODO,provisional
ct-cycle-tour,cape-town,Rondebosch,event,Cape Town Cycle Tour,109km around the peninsula with thirty thousand other people. Train for it or suffer beautifully.,"65 Ave De Mist, Rondebosch",-33.9600,18.4750,clock,,1,6,0,360,,fitness|outdoors|cycling,/images/cycle-tour.jpg,TODO,provisional
ct-story-jam,cape-town,City Bowl,event,Story Jam,True stories told live on Loop Street by people who are not performers. Consistently the best night out in town.,"35 Loop St, Cape Town City Centre",-33.9250,18.4180,clock,,0,19,30,150,,live-shows|social,/images/story-jam.jpg,TODO,provisional
ct-first-thursdays,cape-town,City Bowl,event,First Thursdays,Galleries and shops stay open late and the whole city centre walks around. Start on Church Street.,"1 Orphan Ln, Cape Town City Centre",-33.9250,18.4180,clock,,0,17,0,300,Free,art|social,/images/first-thursdays.jpg,TODO,provisional
ct-obz-quiz-night,cape-town,Observatory,event,Quiz night in Obz,"Lower Main Road, teams of four, and one round you will argue about afterwards.","Shop 5, 170 Lower Main Rd, Observatory",-33.9390,18.4690,clock,,0,19,30,150,,social,/images/obz-quiz.jpg,TODO,provisional
